movie,year,timeMin,imdb,metascore,votes,us_grossMillions
To Kill a Mockingbird,1962,129,8.2,88,289197,
Akira,1988,124,8,0,159953,0.55
Shoplifters,2018,121,8,93,57094,3.31
Midnight Cowboy,1969,113,7.8,79,98895,44.79
Naked,1993,132,7.8,84,33412,1.77
Gangs of Wasseypur,2012,321,8.2,89,78845,
The Color Purple,1985,154,7.8,78,76653,98.47
The Raid: Redemption,2011,101,7.6,73,187448,4.11
The Lego Movie,2014,100,7.7,83,319711,257.76
Match Point,2005,124,7.6,72,203208,23.09
The Illusionist,2006,110,7.6,68,350983,39.87
Kung Fu Hustle,2004,99,7.7,78,124971,17.11
The Sting,1973,129,8.3,83,236703,159.6
The Skin I Live In,2011,120,7.6,70,135357,3.19
The Seventh Seal,1957,96,8.2,88,159792,
A Fistful of Dollars,1964,99,8,65,192773,14.5
Robin Hood,1973,83,7.6,57,112956,32.06
Kiki's Delivery Service,1989,103,7.8,83,118461,
The Magnificent Seven,1960,128,7.7,74,86124,4.91
The Wrestler,2008,109,7.9,80,286486,26.24
For a Few Dollars More,1965,132,8.3,74,226610,15
Sunset Blvd.,1950,110,8.4,0,196277,
In the Heat of the Night,1967,110,7.9,75,66141,24.38
National Lampoon's Christmas Vacation,1989,97,7.6,49,148478,71.32
After Hours,1985,97,7.7,90,57018,10.6
Ponyo,2008,101,7.7,86,120554,15.09
Malcolm X,1992,202,7.7,73,83633,48.17
Eastern Promises,2007,100,7.6,82,224153,17.11
The Bridge on the River Kwai,1957,161,8.1,87,199086,44.91
How to Train Your Dragon 2,2014,102,7.8,76,298894,177
Dawn of the Planet of the Apes,2014,130,7.6,79,407063,208.55
Ben-Hur,1959,212,8.1,90,215203,74.7
The Insider,1999,157,7.8,84,157255,28.97
Let the Right One In,2008,114,7.9,82,202868,2.12
Battle Royale,2000,114,7.6,81,166651,
